custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
3964-QJWTRG-NPN,1.0,2.0,1.0,20.0,2.0,September,15.0,3.0,1.0,1.0,0.0,1.0,0.0,31.0,3.4339872044851463,2.0,11.1,1.2009089999999998,0.18307877003563325,2.240091,0.8065164900417755,1.0,1.0,0.0,-1.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,14.3,1.0,0.0,0.0,8.0,4.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,6.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,5.0,3.0,1.0,0.0,3.0,2.0,5.0,81.66,4.0,67.8,0.0,3.0,5.0,1.0,6.5,1.8718021769015913,34.4,3.5380565643793527,1.0,29.0,3.367295829986474,161.05,5.081714875777208,1.0,29.5,3.3843902633457743,126.1,4.837075242970874,1.0,14.25,2.6567569067146595,60.0,4.0943445622221,0.0,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0648-AIPJSP-UVM,5.0,5.0,0.0,22.0,2.0,May,17.0,4.0,2.0,0.0,0.0,1.0,0.0,15.0,2.70805020110221,1.0,18.6,1.2220199999999999,0.20050522722758324,1.5679800000000002,0.44978816674482835,1.0,1.0,0.0,-1.0,-1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,6.800000000000001,1.0,0.0,0.0,1.0,1.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,4.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,4.0,2.0,4.0,1.0,3.0,0.0,4.0,2.0,5.0,42.6,2.0,34.94,1.0,1.0,39.0,0.0,8.9,2.186051276738094,330.6,5.8009091853869235,0.0,0.0,,0.0,,1.0,54.85,4.00460218672124,1975.0,7.5883236773352225,1.0,16.0,2.772588722239781,610.0,6.413458957167357,1.0,45.65,3.8210036070409776,1683.55,7.428659938189792,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5195-TLUDJE-HVO,3.0,4.0,1.0,67.0,6.0,June,14.0,2.0,2.0,0.0,16.0,5.0,0.0,35.0,3.5553480614894135,2.0,9.9,0.9286200000000001,-0.0740556658294137,2.5363800000000003,0.9307378676210412,0.0,4.0,1.0,13.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,5.0,3.0,1.0,1.0,18.8,1.0,0.0,1.0,4.0,3.0,24.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,35.0,5.0,4.0,1.0,3.0,0.0,25.0,5.0,9.0,184.22,7.0,175.75,0.0,3.0,65.0,0.0,28.4,3.3463891451671604,1858.35,7.527444276229858,0.0,0.0,,0.0,,0.0,0.0,,0.0,,1.0,23.0,3.1354942159291497,1410.0,7.251344983372214,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4459-VLPQUH-3OL,4.0,3.0,0.0,23.0,2.0,May,16.0,3.0,2.0,0.0,0.0,1.0,0.0,20.0,2.995732273553991,1.0,5.7,0.022800000000000004,-3.7809947430217417,1.1172000000000002,0.11082555508888482,1.0,2.0,1.0,18.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,8.700000000000001,1.0,0.0,1.0,1.0,1.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,5.0,2.0,3.0,2.0,4.0,0.0,5.0,2.0,17.0,340.99,1.0,18.42,1.0,1.0,36.0,0.0,6.0,1.791759469228055,199.45,5.295563578351415,0.0,0.0,,0.0,,0.0,0.0,,0.0,,1.0,21.0,3.044522437723423,685.0,6.529418838262226,0.0,0.0,,0.0,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
8158-SMTQFB-CNO,2.0,2.0,0.0,26.0,3.0,July,16.0,3.0,2.0,0.0,1.0,1.0,0.0,23.0,3.1354942159291497,1.0,1.7000000000000002,0.21465900000000002,-1.5387045564693775,0.176341,-1.73533565847623,0.0,1.0,1.0,13.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,10.600000000000001,1.0,0.0,1.0,6.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,8.0,3.0,1.0,3.0,2.0,0.0,9.0,3.0,8.0,255.1,7.0,252.73000000000002,1.0,3.0,21.0,0.0,3.05,1.1151415906193203,74.1,4.3054155323020415,1.0,16.5,2.803360380906535,387.7,5.960231844676883,0.0,0.0,,0.0,,1.0,17.25,2.847812143477369,360.0,5.886104031450156,1.0,19.05,2.94706710157271,410.8,6.018106478054404,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,27.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9662-FUSYIM-1IV,4.0,4.0,0.0,64.0,5.0,August,17.0,4.0,3.0,0.0,22.0,5.0,0.0,107.0,4.672828834461906,4.0,5.6000000000000005,1.060584,0.05881969980661042,4.9314160000000005,1.5956261679098511,0.0,2.0,0.0,-1.0,-1.0,1.0,11.0,1.0,1.0,0.0,0.0,2.0,0.0,7.0,1.0,1.0,31.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8.0,4.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,18.0,5.0,3.0,3.0,2.0,1.0,9.0,3.0,11.0,228.27,0.0,0.0,0.0,3.0,28.0,0.0,8.1,2.0918640616783932,264.9,5.579352396278024,1.0,26.75,3.2865344733420154,726.6,6.588376119787101,1.0,35.5,3.56953269648137,970.95,6.878274973659629,1.0,28.25,3.34109345759245,765.0,6.639875833826536,0.0,0.0,,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7432-QKQFJJ-K72,2.0,5.0,1.0,52.0,5.0,July,14.0,2.0,1.0,0.0,10.0,3.0,0.0,77.0,4.343805421853684,4.0,1.9,0.501809,-0.68953570977821,0.9611909999999999,-0.03958213845953938,0.0,2.0,0.0,-1.0,-1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,4.0,2.0,1.0,0.0,25.6,2.0,1.0,0.0,4.0,3.0,32.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,0.0,2.0,2.0,20.0,822.32,5.0,130.14000000000001,0.0,2.0,15.0,0.0,3.8,1.33500106673234,44.8,3.8022081394209395,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8959-RZWRHU-ST8,3.0,4.0,1.0,44.0,4.0,October,16.0,3.0,1.0,0.0,11.0,4.0,0.0,97.0,4.574710978503383,4.0,14.399999999999999,5.950367999999999,1.7834530663844796,8.017631999999999,2.081643116434676,0.0,5.0,1.0,15.0,3.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,20.0,4.0,1.0,1.0,0.0,55.5,3.0,0.0,1.0,5.0,3.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,25.0,5.0,3.0,1.0,4.0,0.0,20.0,5.0,6.0,592.7,7.0,712.1,0.0,3.0,46.0,0.0,14.85,2.6979998652487085,612.7,6.417875419731609,1.0,24.0,3.1780538303479458,1110.4,7.01247558975254,0.0,0.0,,0.0,,1.0,14.5,2.6741486494265287,630.0,6.4457198193855785,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9124-DZALHM-S6I,2.0,3.0,1.0,66.0,6.0,October,12.0,2.0,1.0,0.0,15.0,4.0,1.0,16.0,2.772588722239781,1.0,2.6,0.102336,-2.279493761770648,0.313664,-1.1594329296950547,0.0,2.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,4.0,1.0,1.0,1.0,8.6,1.0,0.0,0.0,4.0,3.0,25.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,0.0,26.0,5.0,2.0,4.0,3.0,0.0,17.0,5.0,12.0,326.59000000000003,6.0,141.24,1.0,3.0,53.0,0.0,21.05,3.0469005601283903,1074.35,6.979471106523738,0.0,0.0,,0.0,,0.0,0.0,,0.0,,1.0,15.5,2.740840023925201,830.0,6.721425700790643,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3512-MUWBGY-52X,2.0,2.0,0.0,47.0,4.0,July,11.0,1.0,6.0,0.0,19.0,5.0,0.0,84.0,4.430816798843313,4.0,4.1000000000000005,1.7702159999999998,0.5711015730385123,1.6737840000000002,0.5150869314838412,0.0,4.0,0.0,-1.0,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,4.0,4.0,1.0,0.0,41.0,3.0,1.0,0.0,1.0,1.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,11.0,199.64000000000001,5.0,111.17,1.0,3.0,3.0,1.0,3.65,1.2947271675944,20.05,2.998229153752578,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
