"region Geographic indicator"
,Frequency,Percent,Valid Percent
5 Zone 5,1052,21.04,21.04
1 Zone 1,1019,20.38,20.38
2 Zone 2,1005,20.1,20.1
3 Zone 3,981,19.62,19.62
4 Zone 4,943,18.86,18.86
Total,5000,100.0,

"townsize Size of hometown"
,Frequency,Percent,Valid Percent
"1 > 250,000",1430,28.6,28.61
"2 50,000-249,999",1055,21.1,21.11
"3 10,000-49,999",896,17.92,17.93
"4 2,500-9,999",861,17.22,17.23
"5 < 2,500",756,15.12,15.13
Total Valid,4998,99.96,100.0
Missing,2,0.04,
Total,5000,100.0,

"gender Gender"
,Frequency,Percent,Valid Percent
1 Female,2551,51.02,51.02
0 Male,2449,48.98,48.98
Total,5000,100.0,

"agecat Age category"
,Frequency,Percent,Valid Percent
4 35-49,1245,24.9,24.9
5 50-64,1202,24.04,24.04
6 >65,1045,20.9,20.9
3 25-34,885,17.7,17.7
2 18-24,623,12.46,12.46
Total,5000,100.0,

"edcat Level of education"
,Frequency,Percent,Valid Percent
2 High school degree,1571,31.42,31.42
4 College degree,1113,22.26,22.26
3 Some college,1002,20.04,20.04
1 Did not complete high school,953,19.06,19.06
5 Post-undergraduate degree,361,7.22,7.22
Total,5000,100.0,

"jobcat Job category"
,Frequency,Percent,Valid Percent
2 Sales and Office,1630,32.6,32.6
1 Managerial and Professional,1379,27.58,27.58
"6 Operation, Fabrication, General Labor",699,13.98,13.98
3 Service,628,12.56,12.56
"5 Precision Production, Craft, Repair",446,8.92,8.92
4 Agricultural and Natural Resources,218,4.36,4.36
Total,5000,100.0,

"union Union member"
,Frequency,Percent,Valid Percent
0 No,4253,85.06,85.06
1 Yes,747,14.94,14.94
Total,5000,100.0,

"empcat Years with current employer"
,Frequency,Percent,Valid Percent
2 2 to 5,1195,23.9,23.9
5 More than 15,1134,22.68,22.68
1 Less than 2,1039,20.78,20.78
3 6 to 10,956,19.12,19.12
4 11 to 15,676,13.52,13.52
Total,5000,100.0,

"retire Retired"
,Frequency,Percent,Valid Percent
0 No,4268,85.36,85.36
1 Yes,732,14.64,14.64
Total,5000,100.0,

"inccat Income category in thousands"
,Frequency,Percent,Valid Percent
2 $25 - $49,1793,35.86,35.86
1 Under $25,1330,26.6,26.6
3 $50 - $74,819,16.38,16.38
4 $75 - $124,668,13.36,13.36
5 $125+,390,7.8,7.8
Total,5000,100.0,

"default Ever defaulted on a bank loan"
,Frequency,Percent,Valid Percent
0 No,3830,76.6,76.6
1 Yes,1170,23.4,23.4
Total,5000,100.0,

"jobsat Job satisfaction"
,Frequency,Percent,Valid Percent
